Date,avg_speed,avg_nvelocity,avg_evelocity,max_speed,max_nvelocity,max_evelocity,min_speed,min_nvelocity,min_evelocity
2023-06-09,7.270476190476191,-2.2285714285714286,2.8669841269841267,27.15,12.96,25.28,0.36,-20.81,-3.24
2023-06-10,5.321111111111112,-0.5406944444444445,2.437638888888889,23.57,7.68,21.36,0.14,-14.2,-4.2
2023-06-11,7.099513888888889,-0.07277777777777777,4.0060416666666665,29.59,14.18,27.5,0.09,-12.51,-17.01
2023-06-12,7.434236111111111,-0.7691666666666667,3.451388888888889,29.15,10.95,27.69,0.32,-18.51,-21.33
2023-06-13,8.41638888888889,-1.6877083333333334,2.8585416666666665,30.3,11.42,28.46,0.47,-16.3,-11.34
2023-06-14,5.614861111111111,-1.1372916666666666,2.529166666666667,24.99,7.43,24.59,0.13,-11.58,-9.23
2023-06-15,6.09625,-1.419722222222222,2.1343055555555557,24.87,8.25,22.87,0.19,-13.5,-22.5
2023-06-16,6.710486111111111,-0.844375,1.7925694444444444,28.26,13.47,28.13,0.21,-16.93,-23.58
2023-06-17,8.100694444444445,-0.24708333333333335,0.1824305555555555,28.11,17.74,22.75,0.14,-23.68,-22.9
2023-06-18,7.014861111111111,0.3711111111111111,0.8478472222222223,38.85,12.97,38.36,0.21,-10.48,-25.95
2023-06-19,7.0872222222222225,-0.42326388888888894,1.8019444444444443,29.14,13.2,28.08,0.43,-13.37,-23.75
2023-06-20,5.107291666666667,0.04354166666666664,1.426388888888889,22.54,6.76,21.66,0.2,-10.42,-22.19
2023-06-21,6.335208333333333,0.008194444444444445,3.0770833333333334,31.16,19.97,31.14,0.36,-13.43,-6.78
2023-06-22,5.7624305555555555,-0.013749999999999993,2.997638888888889,25.77,16.96,23.24,0.08,-18.88,-4.37
2023-06-23,6.413680555555556,0.46569444444444447,3.513263888888889,27.44,25.15,27.43,0.11,-9.39,-10.96
2023-06-24,4.816111111111111,-0.6607638888888889,2.082847222222222,27.98,9.86,26.97,0.07,-12.25,-4.71
2023-06-25,5.509652777777778,-0.8114583333333334,2.2806944444444444,27.39,14.35,26.3,0.31,-11.21,-5.29
2023-06-26,4.2988888888888885,-0.5066666666666667,1.9140972222222223,28.62,8.26,26.53,0.18,-10.74,-5.55
2023-06-27,4.817569444444445,0.19340277777777778,1.375,24.19,15.66,23.62,0.2,-10.66,-12.39
2023-06-28,7.355138888888889,-1.1797222222222221,2.888611111111111,35.47,24.58,33.13,0.16,-15.5,-16.64
2023-06-29,8.07048611111111,-0.3202777777777778,2.0405555555555557,30.27,18.76,30.27,0.37,-11.31,-9.31
2023-06-30,6.822361111111111,-0.18965277777777778,2.684375,33.69,12.7,33.69,0.23,-14.32,-5.58
2023-07-01,6.347708333333333,0.27958333333333335,1.5746527777777777,28.81,19.35,28.55,0.22,-12,-7.63
2023-07-02,5.9475,-0.3735416666666667,2.5638888888888887,30.98,13.58,30.68,0.09,-16.73,-6.35
2023-07-03,7.268680555555555,-0.5991666666666667,3.7246527777777776,39.61,13.89,39.25,0.28,-19.19,-5.44
2023-07-04,8.806527777777777,0.47625,3.1458333333333335,35.39,22.6,32.62,0.24,-17.75,-21
2023-07-05,10.042847222222223,-1.4000694444444444,6.229305555555555,89.96,16.25,71.2,0.07,-54.98,-7.75
2023-07-06,8.235763888888888,0.5512499999999999,3.6489583333333333,34.49,19.49,34.28,0.38,-19.71,-24.36
2023-07-07,7.777222222222222,-0.69875,3.359236111111111,33.01,10.43,31.35,0.07,-26.16,-7.3
2023-07-08,7.786666666666667,-0.565763888888889,2.9960416666666667,51.25,18.47,47.81,0.65,-17.01,-13.19
2023-07-09,6.6871527777777775,-0.7444444444444445,2.8669444444444445,25.66,13.58,25.13,0.11,-20.01,-9.43
2023-07-10,7.153263888888889,-1.7653472222222222,3.4902083333333334,32.8,11.41,32.12,0.6,-13.81,-6.03
2023-07-11,6.909791666666667,-0.9401388888888889,3.6373611111111113,32.57,9.98,32.33,0.38,-16.91,-5.82
2023-07-12,6.581875,-0.9024305555555555,3.0943055555555556,32.31,29.49,31.8,0.14,-12.21,-10.29
2023-07-13,7.549513888888889,-0.9310416666666667,3.111458333333333,32.32,17.09,32.29,0.23,-18.6,-9.88
2023-07-14,6.847986111111111,-0.8236111111111111,2.3916666666666666,37.36,26.58,31.52,0.39,-20.05,-14.28
2023-07-15,7.763263888888889,-0.3902083333333333,3.4763888888888888,36.58,15.55,32.34,0.17,-23.06,-6.24
2023-07-16,6.278611111111111,-1.1034722222222222,2.6642361111111112,28.88,13.9,27.32,0.34,-12.04,-9.92
2023-07-17,8.553680555555555,-1.4505555555555556,2.9675694444444445,33.58,27.09,29.37,0.25,-16.29,-7.41
2023-07-18,8.064722222222223,-0.125625,3.2104166666666667,31.82,20.32,30.77,0.38,-15.2,-11.31
2023-07-19,7.147916666666667,-0.35770833333333335,2.8361805555555555,33.4,14.63,31.44,0.03,-13.78,-11.89
2023-07-20,7.329027777777778,-1.0572222222222223,2.8285416666666667,40.07,17.28,38.02,0.31,-19.31,-6.47
2023-07-21,6.0020138888888885,0.060625000000000005,1.8891666666666667,34.19,15.93,33.26,0.29,-14.45,-6.41
2023-07-22,6.609930555555556,0.8886805555555556,1.5981944444444445,37.38,22.5,36.25,0.4,-18.48,-6.59
2023-07-23,7.990138888888889,0.05680555555555561,3.5889583333333333,33.36,26.23,33.36,0.06,-14.45,-9.47
2023-07-24,8.920833333333333,0.8292361111111112,-0.21909722222222222,30.09,29.84,28.11,0.13,-18.39,-17.52
2023-07-25,6.402777777777778,1.0290277777777779,0.6226388888888889,36.12,34.92,27.39,0.12,-15.48,-18.85
2023-07-26,5.873819444444444,-0.8302083333333333,1.4847222222222223,41.88,23.78,40.28,0.17,-12.3,-8.79
2023-07-27,6.3723636363636365,-0.26327272727272727,1.1754545454545455,30.94,14.13,29.67,0.26,-14.29,-8.15
